,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
418.625,51,-5.5721355,0.16568361,-5.406451799999999,11,-5.4964207,0.18910922,-5.3073115
442.4,52,-5.6100582,0.19331523,-5.416743,11,-5.536151,0.22124262,-5.3149084
466.175,53,-5.649441700000001,0.2231558,-5.426285900000001,11,-5.5775727,0.25590488,-5.3216679000000005
489.95,54,-5.6901889,0.2551024,-5.4350865,11,-5.6203797,0.29310858,-5.3272711
513.725,55,-5.7322633000000005,0.2891203,-5.443143,11,-5.6646293,0.33249553,-5.332133799999999
537.5,56,-5.775639,0.32524285,-5.4503961,11,-5.7103503,0.37407827,-5.336272
561.275,57,-5.8202702,0.36352912,-5.4567410999999995,11,-5.7575187,0.41783605,-5.3396826
585.05,58,-5.8660916,0.4040306,-5.462061,11,-5.8060785,0.46375557,-5.342322900000001
608.825,59,-5.9130198,0.4467872,-5.4662326,11,-5.8559457,0.51182618,-5.3441195
632.6,60,-5.960955,0.49182693,-5.4691281,11,-5.907008900000001,0.56203633,-5.344972599999999
656.375,61,-6.0097879,0.5391669,-5.4706209999999995,11,-5.9591623,0.61439099,-5.3447713
680.15,62,-6.0593905,0.58881766,-5.470572799999999,11,-6.0121727,0.66888261,-5.3432901
703.925,63,-6.109610900000001,0.64078529,-5.4688256,11,-6.0662833,0.72532218,-5.3409610999999995
727.7,64,-6.1602547,0.69506486,-5.4651899,11,-6.1209142,0.78414243,-5.3367718
751.475,65,-6.2110426,0.75162163,-5.459421,11,-6.1756481,0.84503918,-5.3306089000000005
775.25,66,-6.2615278,0.81034989,-5.4511779,11,-6.2302774,0.90778118,-5.3224962
799.025,67,-6.3109470000000005,0.87098011,-5.4399669,11,-6.283528700000001,0.97248504,-5.3110436
822.8,68,-6.358192400000001,0.93288478,-5.425307599999999,11,-6.334475599999999,1.0381690000000001,-5.2963066
846.575,69,-6.4022343,0.9949613,-5.407273,11,-6.3826046,1.1037836,-5.2788209
870.35,70,-6.442799099999999,1.0559923999999998,-5.3868067,11,-6.4270474,1.1685530000000002,-5.2584944
894.125,71,-6.4804561,1.1153998999999999,-5.365056099999999,11,-6.4687204000000005,1.2310777,-5.2376427
917.9,72,-6.5159502,1.1735202,-5.34243,11,-6.508267900000001,1.2917908,-5.2164771
941.675,73,-6.5496836,1.231064,-5.3186196,11,-6.5455434,1.3514473,-5.194096099999999
965.45,74,-6.5816375,1.2885969,-5.293040599999999,11,-6.5806594,1.41039,-5.1702693
989.225,75,-6.611249099999999,1.3464515,-5.2647975,11,-6.6113303,1.4699543,-5.141376
1013.0,76,-6.6254523,1.4048053,-5.2206470000000005,11,-6.625452,1.530141,-5.095311
