,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-66.435179,0.0,-66.435179,11,-43.625914,1.1993283e-07,-43.625914
0.0006244,2,-66.43518,6.4534871e-08,-66.43518,11,-43.625914,1.7022971e-07,-43.625914
0.0008759,3,-66.43518,9.106680800000001e-08,-66.43518,11,-43.625915,1.9186612e-07,-43.625914
0.0012286,4,-66.43518,1.2986629e-07,-66.43518,11,-43.625915,2.2404313e-07,-43.625914
0.0017234,5,-66.43518,1.8665576e-07,-66.43518,11,-43.625915,2.7012658000000003e-07,-43.625914
0.0024174,6,-66.43518,2.6974067e-07,-66.43518,11,-43.625915,3.3649079999999995e-07,-43.625914
0.0033909,7,-66.43518,3.912921e-07,-66.43518,11,-43.625915,4.3229293e-07,-43.625915
0.0047565,8,-66.435181,5.6909738e-07,-66.43518,11,-43.625915,5.7107695e-07,-43.625915
0.006672,9,-66.435181,8.291404599999999e-07,-66.43518,11,-43.625915,7.723188499999999e-07,-43.625915
0.0093589,10,-66.435182,1.2094109e-06,-66.435181,11,-43.625916,1.0643716e-06,-43.625915
0.0131278,11,-66.435183,1.7654081000000002e-06,-66.435181,11,-43.625917,1.4898446000000001e-06,-43.625915
0.0184145,12,-66.435185,2.5782367e-06,-66.435182,11,-43.625918,2.1129959e-06,-43.625915
0.0258302,13,-66.435187,3.7663697999999998e-06,-66.435183,11,-43.625919,3.0245788999999995e-06,-43.625916
0.0362323,14,-66.43519,5.5031218e-06,-66.43518399999999,11,-43.625921000000005,4.3563086e-06,-43.625916
0.0508234,15,-66.435194,8.0702355e-06,-66.435186,11,-43.625923,6.3208093e-06,-43.625917
0.0712906,16,-66.435201,1.2388795e-05,-66.435188,11,-43.625927000000004,9.612364400000001e-06,-43.625918
0.1,17,-66.435211,2.0993667999999998e-05,-66.43519,11,-43.625933,1.6096787e-05,-43.625917
0.140271,18,-66.43522800000001,3.8960967e-05,-66.43518900000001,11,-43.625941999999995,2.9432038e-05,-43.625913
0.19676,19,-66.435251,7.6042119e-05,-66.435175,11,-43.625953,5.6537425e-05,-43.625896999999995
