,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
537.5,56,-30.362416999999997,7.8486313999999995,-22.513786,11,-29.568859999999997,15.079185,-14.489675
561.275,57,-30.681990999999996,8.461225,-22.220766,11,-29.898206,15.505535,-14.392671
585.05,58,-30.999079,9.080836300000001,-21.918243,11,-30.223259999999996,15.952816,-14.270444
608.825,59,-31.311965,9.7060287,-21.605936,11,-30.542271000000003,16.418314000000002,-14.123956
632.6,60,-31.618285999999998,10.335252,-21.283034,11,-30.85275,16.89958,-13.953169
656.375,61,-31.91468,10.966643,-20.948037,11,-31.151040999999996,17.393567,-13.757473999999998
680.15,62,-32.196896,11.596975,-20.599921,11,-31.432615000000002,17.895991,-13.536624
703.925,63,-32.461733,12.220044,-20.241689,11,-31.693991999999998,18.39992,-13.294072
727.7,64,-32.710939,12.826812,-19.884127,11,-31.936736,18.895625,-13.041111
751.475,65,-32.951858,13.410422,-19.541437,11,-32.167009,19.375905,-12.791103999999999
775.25,66,-33.192749,13.971547,-19.221201999999998,11,-32.391583000000004,19.840208999999998,-12.551374000000001
799.025,67,-33.438188000000004,14.517607,-18.920581,11,-32.611902,20.294769,-12.317133
822.8,68,-33.687589,15.058088,-18.6295,11,-32.970376,22.484133,-10.486243
846.575,69,-33.936655,15.600003,-18.336651999999997,11,-33.340222999999995,23.073404,-10.266819
870.35,70,-34.180462,16.145813,-18.034648999999998,11,-33.552865999999995,23.472348999999998,-10.080517
894.125,71,-34.414885,16.695,-17.719885,11,-34.351804,25.117418,-9.2343858
917.9,72,-34.636185,17.246236,-17.389948,11,-34.598184,25.580785000000002,-9.017399000000001
941.675,73,-34.839928,17.798389999999998,-17.041538,11,-34.820813,26.059375,-8.7614381
965.45,74,-35.019528,18.3506,-16.668929000000002,11,-35.012884,26.548467,-8.464416900000002
989.225,75,-35.162672,18.902348999999997,-16.260323,11,-35.161572,27.045908,-8.115663799999998
1013.0,76,-35.223509,19.453298999999998,-15.77021,11,-35.22351,27.549195,-7.6743146
