,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,115.30735,1,74.431304
0.00075015,2,49.922455,2,56.701648999999996
0.00105225,3,39.583667999999996,3,48.889596999999995
0.001476,4,31.22922,4,39.890071999999996
0.0020704,5,24.655664,5,30.385440000000003
0.00290415,6,19.62555,6,21.717281
0.0040737,7,15.802071,7,15.077689999999999
0.00571425,8,12.863105000000001,8,11.066165
0.00801545,9,10.539571,9,9.084352
0.01124335,10,8.6172405,10,8.0963963
0.01577115,11,6.9439557,11,7.2162897
0.02212235,12,5.4199962,12,6.078957900000001
0.03103125,13,3.9512546000000004,13,4.5916143
0.04352785,14,2.2014245,14,2.5153675
0.061057,15,0.88653405,15,0.75766999
0.0856453,16,1.3819496,16,0.87203729
0.1201355,17,2.7002891,17,2.0366665
0.1685155,18,3.6472481,18,3.0590813
0.2363785,19,4.5845799000000005,19,4.328592700000001
0.3315485,20,5.6655763,20,5.9001
0.4651,21,7.007790400000001,21,7.5689542
0.6524,22,9.0651555,22,9.4595573
0.9151,23,11.408311999999999,23,11.140423
1.28365,24,10.948356,24,10.293633999999999
1.8006,25,8.443308300000002,25,8.3198908
2.5257,26,6.587892200000001,26,7.041189200000001
3.5428,27,5.2938684,27,5.647776
4.96955,28,4.307406299999999,28,4.1846714
6.97085,29,3.553431,29,3.4669877999999996
9.7781,30,2.929484,30,3.278745
13.71585,31,2.3092715,31,2.8103732000000003
19.23935,32,1.6760626,32,1.8767418999999999
26.98725,33,1.1965603999999999,33,1.1540015
37.8553,34,0.87654854,34,0.94721109
53.10005,35,0.55700246,35,0.72092609
73.8875,36,0.26028652,36,0.30748202
97.6625,37,0.12741188,37,0.064889475
121.4375,38,0.10753579,38,0.040625297000000005
145.2125,39,0.016217036,39,-0.026925572000000002
168.9875,40,-0.12266075,40,-0.15141279
192.7625,41,-0.11278759,41,-0.12452003
216.5375,42,0.019713263,42,0.020977423
240.3125,43,0.07024449599999999,43,0.068993511
264.0875,44,0.082354987,44,0.078748931
287.8625,45,0.08519728300000001,45,0.083414058
311.6375,46,0.083844736,46,0.082385636
335.4125,47,0.080550548,47,0.080908681
359.1875,48,0.076453427,48,0.075495956
382.9625,49,0.072307731,49,0.069381703
406.7375,50,0.068437085,50,0.06317229099999999
430.5125,51,0.064430803,51,0.05703158
454.2875,52,0.059607785,52,0.049234747
478.0625,53,0.053773365,53,0.042408910999999994
501.8375,54,0.047592691,54,0.034910327000000005
525.6125,55,0.04192005,55,0.028773966
549.3875,56,0.037145012000000005,56,0.023970285
573.1625,57,0.033191385,57,0.020352271
596.9375,58,0.029935301,58,0.017678657
620.7125,59,0.02707497,59,0.015632203
644.4875,60,0.024490407000000002,60,0.014015531000000001
668.2625,61,0.022204292999999996,61,0.012938982
692.0375,62,0.02026506,62,0.011129276
715.8125,63,0.018777565,63,0.011025051000000001
739.5875,64,0.017987961,64,0.011138559
763.3625,65,0.018395397,65,0.011708672
787.1375,66,0.020919234,66,0.015502556
810.9125,67,0.02557189,67,0.020611847
834.6875,68,0.029510097000000002,68,0.024495128999999997
858.4625,69,0.028617602000000002,69,0.024969589
882.2375,70,0.022665832,70,0.019039138
906.0125,71,0.015857917,71,0.012539165
929.7875,72,0.011250528999999999,72,0.0085213016
953.5625,73,0.009140403299999999,73,0.0056231728
977.3375,74,0.0099325091,74,0.006962514499999999
1001.1125,75,0.080199128,75,0.07821518400000001
