,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
394.85,50,-5.535846,0.14037498,-5.395471,11,-3.5235373999999995,0.31282475,-3.2107127
418.625,51,-5.5721355,0.16568361,-5.406451799999999,11,-3.5529334,0.34028934,-3.2126441000000003
442.4,52,-5.6100582,0.19331523,-5.416743,11,-4.6672367999999995,0.75363113,-3.9136056000000004
466.175,53,-5.649441700000001,0.2231558,-5.426285900000001,11,-5.253912000000001,0.83386866,-4.4200434
489.95,54,-5.6901889,0.2551024,-5.4350865,11,-5.2960468,0.86441251,-4.4316343
513.725,55,-5.7322633000000005,0.2891203,-5.443143,11,-5.3395871,0.89826691,-4.441320200000001
537.5,56,-5.775639,0.32524285,-5.4503961,11,-5.384559599999999,0.93525294,-4.4493067
561.275,57,-5.8202702,0.36352912,-5.4567410999999995,11,-5.4309377,0.97517399,-4.4557637
585.05,58,-5.8660916,0.4040306,-5.462061,11,-5.478661499999999,1.0178566,-4.460804799999999
608.825,59,-5.9130198,0.4467872,-5.4662326,11,-5.5276404999999995,1.0631498,-4.4644907
632.6,60,-5.960955,0.49182693,-5.4691281,11,-5.5777532999999995,1.1109232,-4.4668301
656.375,61,-6.0097879,0.5391669,-5.4706209999999995,11,-5.6288770999999995,1.161083,-4.4677941
680.15,62,-6.0593905,0.58881766,-5.470572799999999,11,-5.6807508,1.2135438,-4.467207
703.925,63,-6.109610900000001,0.64078529,-5.4688256,11,-5.7335712,1.2680571000000003,-4.4655141
727.7,64,-6.1602547,0.69506486,-5.4651899,11,-5.7866789,1.3250104,-4.4616684
751.475,65,-6.2110426,0.75162163,-5.459421,11,-5.8395182,1.3840667,-4.4554515
775.25,66,-6.2615278,0.81034989,-5.4511779,11,-5.8916383,1.4449711,-4.4466672
799.025,67,-6.3109470000000005,0.87098011,-5.4399669,11,-5.9413303,1.5078242,-4.4335061
822.8,68,-6.358192400000001,0.93288478,-5.425307599999999,11,-6.0599371,2.028832,-4.0311050999999996
846.575,69,-6.4022343,0.9949613,-5.407273,11,-6.1725202,2.214643,-3.9578772000000004
870.35,70,-6.442799099999999,1.0559923999999998,-5.3868067,11,-6.2135858,2.2727903,-3.9407955
894.125,71,-6.4804561,1.1153998999999999,-5.365056099999999,11,-6.4438071,2.7634066,-3.6804006
917.9,72,-6.5159502,1.1735202,-5.34243,11,-6.4921139000000005,2.8524264,-3.6396875
941.675,73,-6.5496836,1.231064,-5.3186196,11,-6.5362787,2.9430144,-3.5932642999999995
965.45,74,-6.5816375,1.2885969,-5.293040599999999,11,-6.576446499999999,3.034784,-3.5416623999999994
989.225,75,-6.611249099999999,1.3464515,-5.2647975,11,-6.610247,3.1286999,-3.4815471
1013.0,76,-6.6254523,1.4048053,-5.2206470000000005,11,-6.625452,3.2245156,-3.4009364
