,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
513.725,55,-30.758476,27.855121999999998,-2.903354,1,-30.692703,28.011086,-2.6816164000000002
537.5,56,-31.610838,28.886994,-2.7238443,1,-31.549244,29.049019,-2.5002242000000003
561.275,57,-32.445409000000005,29.885047999999998,-2.560361,1,-32.388096999999995,30.055187,-2.3329107000000002
585.05,58,-33.263826,30.852932,-2.4108937000000004,1,-33.210821,31.031726000000003,-2.1790946
608.825,59,-34.067161,31.793496,-2.2736647,1,-34.018314000000004,31.980342999999998,-2.0379712
632.6,60,-34.856103999999995,32.70896,-2.147144,1,-34.810912,32.902359000000004,-1.9085525
656.375,61,-35.6312,33.601071000000005,-2.0301287,1,-35.589369,33.799489,-1.7898803
680.15,62,-36.392751000000004,34.471317,-1.9214335,1,-36.353727,34.672878999999995,-1.6808478999999998
703.925,63,-37.140702000000005,35.320977,-1.8197259,1,-37.105685,35.522597,-1.5830875
727.7,64,-37.874367,36.151034,-1.7233325000000002,1,-37.843107,36.351406,-1.4917008999999999
751.475,65,-38.591755,36.961894,-1.6298618999999999,1,-38.563708,37.158626,-1.4050818
775.25,66,-39.28832,37.752798,-1.5355216999999999,1,-39.264115999999994,37.943362,-1.3207541
799.025,67,-39.954782,38.520552,-1.4342308000000001,1,-39.933336,38.704124,-1.2292121999999999
822.8,68,-40.577292,39.256978000000004,-1.3203143,1,-40.558254,39.432046,-1.1262085
846.575,69,-41.144459000000005,39.948206,-1.1962528000000001,1,-41.129007,40.113807,-1.0151999
870.35,70,-41.657013,40.581165000000006,-1.075848,1,-41.644124,40.738009000000005,-0.90611472
894.125,71,-42.127656,41.154238,-0.97341744,1,-42.117255,41.301004,-0.81625087
917.9,72,-42.570529,41.678998,-0.8915311,1,-42.562512,41.815382,-0.74712981
941.675,73,-42.994032000000004,42.170541,-0.82349097,1,-42.987553000000005,42.29655,-0.69100217
965.45,74,-43.400110999999995,42.639891,-0.76022037,1,-43.39672,42.754792,-0.64192812
989.225,75,-43.781548,43.093478000000005,-0.68807072,1,-43.780509,43.198869,-0.58164058
1013.0,76,-43.964837,43.534834000000004,-0.43000309,1,-43.96484,43.631293,-0.33354735
