,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
513.725,55,-32.030398999999996,28.894370000000002,-3.1360287000000002,1,-31.963746,29.049909999999997,-2.9138357000000004
537.5,56,-33.005277,30.0528,-2.9524766,1,-32.942854,30.21645,-2.7264037999999995
561.275,57,-33.963411,31.182209000000004,-2.7812018,1,-33.906208,31.354934000000004,-2.5512748
585.05,58,-34.904443,32.283878,-2.6205642000000005,1,-34.851583000000005,32.467084,-2.3844985
608.825,59,-35.826718,33.358866,-2.467852,1,-35.777881,33.550953,-2.2269283
632.6,60,-36.725787,34.407163,-2.3186239,1,-36.680319,34.606251,-2.074068
656.375,61,-37.59033,35.426460999999996,-2.1638692,1,-37.547776,35.630834,-1.9169415
680.15,62,-38.398669,36.407595,-1.9910743000000002,1,-38.358598,36.615318,-1.7432801
703.925,63,-39.126087,37.32936,-1.7967267,1,-39.087586,37.537941,-1.5496447
727.7,64,-39.770227,38.163649,-1.6065783000000002,1,-39.734196999999995,38.369818,-1.3643794
751.475,65,-40.36296,38.901593,-1.4613671999999998,1,-40.329044,39.103576000000004,-1.225468
775.25,66,-40.949156,39.570221000000004,-1.3789356000000002,1,-40.917646999999995,39.764933,-1.1527136999999998
799.025,67,-41.561229,40.21492,-1.3463085,1,-41.532229,40.400289,-1.1319397
822.8,68,-42.207640000000005,40.873241,-1.3343996,1,-42.182373,41.048223,-1.1341508
846.575,69,-42.876841,41.560124,-1.3167173,1,-42.854776,41.725365000000004,-1.1294106000000002
870.35,70,-43.553302,42.268652,-1.2846496,1,-43.53438,42.423294,-1.111086
894.125,71,-44.226577,42.985191,-1.2413853000000001,1,-44.212072,43.128887,-1.083185
917.9,72,-44.891067,43.699740000000006,-1.1913261999999998,1,-44.879993,43.833892999999996,-1.0461001
941.675,73,-45.542829,44.40722,-1.1356091,1,-45.535067,44.531276,-1.0037909999999999
965.45,74,-46.176658,45.10533,-1.0713278999999998,1,-46.17365,45.219529,-0.95412036
989.225,75,-46.777417,45.793446,-0.98397137,1,-46.776769,45.899617,-0.87715213
1013.0,76,-47.067549,46.471346999999994,-0.59620193,1,-47.06755,46.569274,-0.49827553
