,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
537.5,56,-22.531827,5.743254299999999,-16.788573,11,-22.617179,12.578667,-10.038511999999999
561.275,57,-22.691414,6.1240597999999995,-16.567355,11,-22.776634,12.832804,-9.9438299
585.05,58,-22.842572,6.5072218,-16.33535,11,-22.92715,13.094896,-9.8322539
608.825,59,-22.984282999999998,6.889991900000001,-16.094291000000002,11,-23.067769000000002,13.362288000000001,-9.705480900000001
632.6,60,-23.115837,7.2696703,-15.846166,11,-23.197991000000002,13.632235000000001,-9.565756
656.375,61,-23.236857999999998,7.6437672999999995,-15.59309,11,-23.317218,13.902145,-9.415073699999999
680.15,62,-23.347247,8.0101303,-15.337116,11,-23.425422,14.169476999999999,-9.255945
703.925,63,-23.447103,8.367192900000001,-15.07991,11,-23.522712,14.43245,-9.0902615
727.7,64,-23.536532,8.7139418,-14.82259,11,-23.609175,14.689723999999998,-8.9194512
751.475,65,-23.615403,9.049890300000001,-14.565512,11,-23.684663,14.940422,-8.744241699999998
775.25,66,-23.683083,9.3749138,-14.30817,11,-23.748524,15.18402,-8.5645041
799.025,67,-23.738113000000002,9.688985800000001,-14.049126999999999,11,-23.799037,15.420121,-8.3789155
822.8,68,-23.777801,9.9916949,-13.786107000000001,11,-23.87921,17.092365,-6.7868451
846.575,69,-23.798220999999998,10.281255999999999,-13.516964000000002,11,-23.925194,17.421319,-6.5038748
870.35,70,-23.795927,10.552974,-13.242953,11,-23.927245000000003,17.591082999999998,-6.3361627
894.125,71,-23.771831,10.798900999999999,-12.972928999999999,11,-23.781578,18.634403,-5.1471749
917.9,72,-23.732948999999998,11.011628,-12.721322,11,-23.73861,18.811663,-4.9269474
941.675,73,-23.688558999999998,11.189575,-12.498984,11,-23.691370000000003,18.959083,-4.7322865
965.45,74,-23.645973,11.336976,-12.308997,11,-23.646941,19.079793,-4.5671478
989.225,75,-23.610539000000003,11.459833999999999,-12.150705,11,-23.610753,19.178466,-4.432286799999999
1013.0,76,-23.591138,11.563292,-12.027845,11,-23.59114,19.259718,-4.3314224999999995
